tipo,date,value
general,1992/01,6
general,1992/02,6.8
general,1992/03,6.9
general,1992/04,6.5
general,1992/05,6.5
general,1992/06,6.2
general,1992/07,5.2
general,1992/08,5.8
general,1992/09,5.8
general,1992/10,5.2
general,1992/11,5.1
general,1992/12,5.3
general,1993/01,4.7
general,1993/02,4
general,1993/03,4
general,1993/04,4.6
general,1993/05,4.6
general,1993/06,4.9
general,1993/07,4.9
general,1993/08,4.6
general,1993/09,4.3
general,1993/10,4.6
general,1993/11,4.7
general,1993/12,4.9
general,1994/01,5
general,1994/02,5
general,1994/03,5
general,1994/04,4.9
general,1994/05,4.9
general,1994/06,4.7
general,1994/07,4.8
general,1994/08,4.8
general,1994/09,4.5
general,1994/10,4.4
general,1994/11,4.4
general,1994/12,4.3
general,1995/01,4.4
general,1995/02,4.8
general,1995/03,5.1
general,1995/04,5.2
general,1995/05,5.1
general,1995/06,5.1
general,1995/07,4.7
general,1995/08,4.3
general,1995/09,4.4
general,1995/10,4.3
general,1995/11,4.4
general,1995/12,4.3
general,1996/01,3.9
general,1996/02,3.7
general,1996/03,3.4
general,1996/04,3.5
general,1996/05,3.8
general,1996/06,3.6
general,1996/07,3.7
general,1996/08,3.7
general,1996/09,3.6
general,1996/10,3.5
general,1996/11,3.2
general,1996/12,3.2
general,1997/01,2.9
general,1997/02,2.5
general,1997/03,2.2
general,1997/04,1.7
general,1997/05,1.5
general,1997/06,1.6
general,1997/07,1.6
general,1997/08,1.8
general,1997/09,2
general,1997/10,1.9
general,1997/11,2
general,1997/12,2
general,1998/01,2
general,1998/02,1.8
general,1998/03,1.8
general,1998/04,2
general,1998/05,2
general,1998/06,2.1
general,1998/07,2.2
general,1998/08,2.1
general,1998/09,1.6
general,1998/10,1.7
general,1998/11,1.4
general,1998/12,1.4
general,1999/01,1.5
general,1999/02,1.8
general,1999/03,2.2
general,1999/04,2.4
general,1999/05,2.2
general,1999/06,2.2
general,1999/07,2.2
general,1999/08,2.4
general,1999/09,2.5
general,1999/10,2.5
general,1999/11,2.7
general,1999/12,2.9
general,2000/01,2.9
general,2000/02,3
general,2000/03,2.9
general,2000/04,3
general,2000/05,3.1
general,2000/06,3.4
general,2000/07,3.6
general,2000/08,3.6
general,2000/09,3.7
general,2000/10,4
general,2000/11,4.1
general,2000/12,4
general,2001/01,3.7
general,2001/02,3.8
general,2001/03,3.9
general,2001/04,4
general,2001/05,4.2
general,2001/06,4.2
general,2001/07,3.9
general,2001/08,3.7
general,2001/09,3.4
general,2001/10,3
general,2001/11,2.7
general,2001/12,2.7
general,2002/01,3.1
general,2002/02,3.1
general,2002/03,3.1
general,2002/04,3.6
general,2002/05,3.6
general,2002/06,3.4
general,2002/07,3.4
general,2002/08,3.6
general,2002/09,3.5
general,2002/10,4
general,2002/11,3.9
general,2002/12,4
general,2003/01,3.7
general,2003/02,3.8
general,2003/03,3.7
general,2003/04,3.1
general,2003/05,2.7
general,2003/06,2.7
general,2003/07,2.8
general,2003/08,3
general,2003/09,2.9
general,2003/10,2.6
general,2003/11,2.8
general,2003/12,2.6
general,2004/01,2.3
general,2004/02,2.1
general,2004/03,2.1
general,2004/04,2.7
general,2004/05,3.4
general,2004/06,3.5
general,2004/07,3.4
general,2004/08,3.3
general,2004/09,3.2
general,2004/10,3.6
general,2004/11,3.5
general,2004/12,3.2
general,2005/01,3.1
general,2005/02,3.3
general,2005/03,3.4
general,2005/04,3.5
general,2005/05,3.1
general,2005/06,3.1
general,2005/07,3.3
general,2005/08,3.3
general,2005/09,3.7
general,2005/10,3.5
general,2005/11,3.4
general,2005/12,3.7
general,2006/01,4.2
general,2006/02,4
general,2006/03,3.9
general,2006/04,3.9
general,2006/05,4
general,2006/06,3.9
general,2006/07,4
general,2006/08,3.7
general,2006/09,2.9
general,2006/10,2.5
general,2006/11,2.6
general,2006/12,2.7
general,2007/01,2.4
general,2007/02,2.4
general,2007/03,2.5
general,2007/04,2.4
general,2007/05,2.3
general,2007/06,2.4
general,2007/07,2.2
general,2007/08,2.2
general,2007/09,2.7
general,2007/10,3.6
general,2007/11,4.1
general,2007/12,4.2
general,2008/01,4.3
general,2008/02,4.4
general,2008/03,4.5
general,2008/04,4.2
general,2008/05,4.6
general,2008/06,5
general,2008/07,5.3
general,2008/08,4.9
general,2008/09,4.5
general,2008/10,3.6
general,2008/11,2.4
general,2008/12,1.4
general,2009/01,0.8
general,2009/02,0.7
general,2009/03,-0.1
general,2009/04,-0.2
general,2009/05,-0.9
general,2009/06,-1
general,2009/07,-1.4
general,2009/08,-0.8
general,2009/09,-1
general,2009/10,-0.7
general,2009/11,0.3
general,2009/12,0.8
general,2010/01,1
general,2010/02,0.8
general,2010/03,1.4
general,2010/04,1.5
general,2010/05,1.8
general,2010/06,1.5
general,2010/07,1.9
general,2010/08,1.8
general,2010/09,2.1
general,2010/10,2.3
general,2010/11,2.3
general,2010/12,3
general,2011/01,3.3
general,2011/02,3.6
general,2011/03,3.6
general,2011/04,3.8
general,2011/05,3.5
general,2011/06,3.2
general,2011/07,3.1
general,2011/08,3
general,2011/09,3.1
general,2011/10,3
general,2011/11,2.9
general,2011/12,2.4
general,2012/01,2
general,2012/02,2
general,2012/03,1.9
general,2012/04,2.1
general,2012/05,1.9
general,2012/06,1.9
general,2012/07,2.2
general,2012/08,2.7
general,2012/09,3.4
general,2012/10,3.5
general,2012/11,2.9
general,2012/12,2.9
general,2013/01,2.7
general,2013/02,2.8
general,2013/03,2.4
general,2013/04,1.4
general,2013/05,1.7
general,2013/06,2.1
general,2013/07,1.8
general,2013/08,1.5
general,2013/09,0.3
general,2013/10,-0.1
general,2013/11,0.2
general,2013/12,0.3
general,2014/01,0.2
general,2014/02,0
general,2014/03,-0.1
general,2014/04,0.4
general,2014/05,0.2
general,2014/06,0.1
general,2014/07,-0.3
general,2014/08,-0.5
general,2014/09,-0.2
general,2014/10,-0.1
general,2014/11,-0.4
general,2014/12,-1
general,2015/01,-1.3
general,2015/02,-1.1
general,2015/03,-0.7
general,2015/04,-0.6
general,2015/05,-0.2
general,2015/06,0.1
general,2015/07,0.1
general,2015/08,-0.4
general,2015/09,-0.9
general,2015/10,-0.7
general,2015/11,-0.3
general,2015/12,0
general,2016/01,-0.3
general,2016/02,-0.8
general,2016/03,-0.8
general,2016/04,-1.1
general,2016/05,-1
general,2016/06,-0.8
general,2016/07,-0.6
general,2016/08,-0.1
general,2016/09,0.2
general,2016/10,0.7
general,2016/11,0.7
general,2016/12,1.6
general,2017/01,3
general,2017/02,3
general,2017/03,2.3
general,2017/04,2.6
general,2017/05,1.9
general,2017/06,1.5
general,2017/07,1.5
general,2017/08,1.6
general,2017/09,1.8
general,2017/10,1.6
general,2017/11,1.7
general,2017/12,1.1
general,2018/01,0.6
general,2018/02,1.1
general,2018/03,1.2
general,2018/04,1.1
general,2018/05,2.1
general,2018/06,2.3
general,2018/07,2.2
general,2018/08,2.2
general,2018/09,2.3
general,2018/10,2.3
general,2018/11,1.7
general,2018/12,1.2
general,2019/01,1
general,2019/02,1.1
general,2019/03,1.3
general,2019/04,1.5
general,2019/05,0.8
general,2019/06,0.4
general,2019/07,0.5
general,2019/08,0.3
general,2019/09,0.1
general,2019/10,0.1
general,2019/11,0.4
general,2019/12,0.8
general,2020/01,1.1
general,2020/02,0.7
general,2020/03,0
general,2020/04,-0.7
general,2020/05,-0.9
general,2020/06,-0.3
general,2020/07,-0.6
general,2020/08,-0.5
general,2020/09,-0.4
general,2020/10,-0.8
general,2020/11,-0.8
general,2020/12,-0.5
general,2021/01,0.5
general,2021/02,0
general,2021/03,1.3
general,2021/04,2.2
general,2021/05,2.7
general,2021/06,2.7
general,2021/07,2.9
general,2021/08,3.3
general,2021/09,4
general,2021/10,5.4
general,2021/11,5.6
